Label,StopwordRemovedSentence
negative,7 saville row burlington gardens house sheridan died 1814
positive,one noticeable members reform club though seemed always avoid attracting attention enigmatical personage little known except polished man world
negative,people said resembled byron least head byronic bearded tranquil byron might live thousand years without growing old
negative,certainly englishman doubtful whether phileas fogg londoner
neutral,never seen change bank counting rooms city ships ever came london docks owner public employment never entered inns court either temple lincoln inn gray inn voice ever resounded court chancery exchequer queen bench ecclesiastical courts
positive,certainly manufacturer merchant gentleman farmer
negative,name strange scientific learned societies never known take part sage deliberations royal institution london institution artisan association institution arts sciences
positive,belonged fact none numerous societies swarm english capital harmonic entomologists founded mainly purpose abolishing pernicious insects
neutral,phileas fogg member reform
positive,way got admission exclusive club simple enough
positive,recommended barings open credit
neutral,cheques regularly paid sight account current always flush
positive,phileas fogg rich
neutral,undoubtedly
positive,knew best could imagine made fortune mr fogg last person apply information
positive,lavish contrary avaricious whenever knew money needed noble useful benevolent purpose supplied quietly sometimes anonymously
neutral,short least communicative men
neutral,talked little seemed mysterious taciturn manner
positive,daily habits quite open observation whatever exactly thing always done wits curious fairly puzzled
neutral,travelled
neutral,likely one seemed know world familiarly spot secluded appear intimate acquaintance
positive,often corrected clear words thousand conjectures advanced members club lost unheard travellers pointing true probabilities seeming gifted sort second sight often events justify predictions
negative,must travelled everywhere least spirit
positive,least certain phileas fogg absented london many years
positive,honoured better acquaintance rest declared nobody could pretend ever seen anywhere else
neutral,sole pastimes reading papers playing whist
positive,often game silent one harmonised nature winnings never went purse reserved fund charities
positive,mr fogg played win sake playing
negative,game eyes contest struggle difficulty yet motionless unwearying struggle congenial tastes
positive,phileas fogg known either wife children may happen honest people either relatives near friends certainly unusual
negative,lived alone house saville row whither none penetrated
neutral,single domestic sufficed serve
neutral,breakfasted dined club hours mathematically fixed room table never taking meals members much less bringing guest went home exactly midnight retire bed
positive,never used cosy chambers reform provides favoured members
neutral,passed ten hours twenty four saville row either sleeping making toilet
positive,chose take walk regular step entrance hall mosaic flooring circular gallery dome supported twenty red porphyry ionic columns illumined blue painted windows
positive,breakfasted dined resources club kitchens pantries buttery dairy aided crowd table succulent stores served gravest waiters dress coats shoes swan skin soles proffered viands special porcelain finest linen club decanters lost mould contained sherry port cinnamon spiced claret beverages refreshingly cooled ice brought great cost american lakes
positive,live style eccentric must confessed something good eccentricity
positive,mansion saville row though sumptuous exceedingly comfortable
negative,habits occupant demand little sole domestic phileas fogg required almost superhumanly prompt regular
negative,2nd october dismissed james forster luckless youth brought shaving water eighty four degrees fahrenheit instead eighty six awaiting successor due house eleven half past
positive,phileas fogg seated squarely armchair feet close together like grenadier parade hands resting knees body straight head erect steadily watching complicated clock indicated hours minutes seconds days months years
neutral,exactly half past eleven mr fogg would according daily habit quit saville row repair reform
neutral,rap moment sounded door cosy apartment phileas fogg seated james forster dismissed servant appeared
neutral,new servant said
positive,young man thirty advanced bowed
positive,frenchman believe asked phileas fogg name john jean monsieur pleases replied newcomer jean passepartout surname clung natural aptness going one business another
positive,believe honest monsieur outspoken several trades
positive,itinerant singer circus rider used vault like leotard dance rope like blondin
positive,got professor gymnastics make better use talents sergeant fireman paris assisted many big fire
positive,quitted france five years ago wishing taste sweets domestic life took service valet england
positive,finding place hearing monsieur phileas fogg exact settled gentleman united kingdom come monsieur hope living tranquil life forgetting even name passepartout passepartout suits responded mr fogg
positive,well recommended hear good report
positive,know conditions yes monsieur good
neutral,time twenty two minutes eleven returned passepartout drawing enormous silver watch depths pocket
neutral,slow said mr fogg
positive,pardon monsieur impossible four minutes slow
negative,matter enough mention error
neutral,moment twenty nine minutes eleven wednesday 2nd october service phileas fogg got took hat left hand put head automatic motion went without word
neutral,passepartout heard street door shut new master going
neutral,heard shut predecessor james forster departing turn
negative,passepartout remained alone house saville row
positive,brief interview mr fogg passepartout carefully observing
positive,appeared man forty years age fine handsome features tall well shaped figure hair whiskers light forehead compact unwrinkled face rather pale teeth magnificent
positive,countenance possessed highest degree physiognomists call repose action quality act rather talk
positive,calm phlegmatic clear eye mr fogg seemed perfect type english composure angelica kauffmann skilfully represented canvas
positive,seen various phases daily life gave idea perfectly well balanced exactly regulated leroy chronometer
positive,phileas fogg indeed exactitude personified betrayed even expression hands feet men well animals limbs expressive passions
positive,exact never hurry always ready economical alike steps motions
positive,never took one step many always went destination shortest cut made superfluous gestures never seen moved agitated
positive,deliberate person world yet always reached destination exact moment
negative,lived alone speak outside every social relation knew world account must taken friction friction retards never rubbed anybody
positive,passepartout true parisian paris
negative,since abandoned country england taking service valet vain searched master heart
positive,passepartout means one pert dunces depicted moli bold gaze nose held high air honest fellow pleasant face lips trifle protruding soft mannered serviceable good round head one likes see shoulders friend
positive,eyes blue complexion rubicund figure almost portly well built body muscular physical powers fully developed exercises younger days
neutral,brown hair somewhat tumbled ancient sculptors said known eighteen methods arranging minerva tresses passepartout familiar one dressing three strokes large tooth comb completed toilet
positive,would rash predict passepartout lively nature would agree mr fogg
positive,impossible tell whether new servant would turn absolutely methodical master required experience alone could solve question
negative,passepartout sort vagrant early years yearned repose far failed find though already served ten english houses
negative,could take root chagrin found masters invariably whimsical irregular constantly running country look adventure
neutral,last master young lord longferry member parliament passing nights haymarket taverns often brought home morning policemen shoulders
negative,passepartout desirous respecting gentleman served ventured mild remonstrance conduct ill received took leave
positive,hearing mr phileas fogg looking servant life one unbroken regularity neither travelled stayed home overnight felt sure would place
positive,presented accepted seen
negative,half past eleven passepartout found alone house saville row
positive,began inspection without delay scouring cellar garret
positive,clean well arranged solemn mansion pleased seemed like snail shell lighted warmed gas sufficed purposes
positive,passepartout reached second story recognised room inhabit well satisfied
