Label,StopwordRemovedSentence
positive,well known energy taste military matters became developed among nation ship owners shopkeepers mechanics
positive,simple tradesmen jumped counters become extemporized captains colonels generals without ever passed school instruction west point nevertheless quickly rivaled compeers old continent like carried victories dint lavish expenditure ammunition money men
neutral,point americans singularly distanced europeans science gunnery
positive,indeed weapons retained higher degree perfection exhibited unheard dimensions consequently attained hitherto unheard ranges
negative,point grazing plunging oblique enfilading point blank firing english french prussians nothing learn cannon howitzers mortars mere pocket pistols compared formidable engines american artillery
neutral,fact need surprise one
neutral,yankees first mechanicians world engineers italians musicians germans metaphysicians right birth
positive,nothing natural therefore perceive applying audacious ingenuity science gunnery
positive,witness marvels parrott dahlgren rodman
positive,armstrong palliser beaulieu guns compelled bow transatlantic rivals
positive,american idea directly seeks second american share
neutral,three elect president two secretaries
positive,given four name keeper records office ready work five convene general meeting club fully constituted
neutral,things managed baltimore
positive,inventor new cannon associated caster borer
positive,thus formed nucleus gun club single month formation numbered 1 833 effective members 30 565 corresponding members
positive,one condition imposed sine qu non upon every candidate admission association condition designed less perfected cannon default cannon least firearm description
negative,may however mentioned mere inventors revolvers fire shooting carbines similar small arms met little consideration
positive,artillerists always commanded chief place favor
negative,estimation gentlemen held according one scientific exponents gun club proportional masses guns direct ratio square distances attained projectiles gun club founded easy conceive result inventive genius americans
negative,military weapons attained colossal proportions projectiles exceeding prescribed limits unfortunately occasionally cut two unoffending pedestrians
negative,inventions fact left far rear timid instruments european artillery
positive,fair add yankees brave ever proved confine theories formulae paid heavily propri person inventions
negative,among counted officers ranks lieutenants generals military men every age making profession arms grown old gun carriage
positive,many found rest field battle whose names figured book honor gun club made good return greater proportion bore marks indisputable valor
positive,crutches wooden legs artificial arms steel hooks caoutchouc jaws silver craniums platinum noses found collection calculated great statistician pitcairn throughout gun club quite one arm four persons two legs six
negative,nevertheless valiant artillerists took particular account little facts felt justly proud despatches battle returned number victims ten fold quantity projectiles expended
negative,one day however sad melancholy day peace signed survivors war thunder guns gradually ceased mortars silent howitzers muzzled indefinite period cannon muzzles depressed returned arsenal shot repiled bloody reminiscences effaced cotton plants grew luxuriantly well manured fields mourning garments laid aside together grief gun club relegated profound inactivity
positive,advanced inveterate theorists set work upon calculations regarding laws projectiles
neutral,reverted invariably gigantic shells howitzers unparalleled caliber
positive,still default practical experience value mere theories
positive,consequently clubrooms became deserted servants dozed antechambers newspapers grew mouldy tables sounds snoring came dark corners members gun club erstwhile noisy seances reduced silence disastrous peace gave wholly dreams platonic kind artillery
negative,horrible said tom hunter one evening rapidly carbonizing wooden legs fireplace smoking room nothing
neutral,nothing look forward
neutral,loathsome existence
positive,shall guns arouse us morning delightful reports days gone said jolly bilsby trying extend missing arms
positive,delightful upon time
negative,one invented gun hardly cast one hastened try face enemy
positive,one returned camp word encouragement sherman friendly shake hand mcclellan
neutral,generals gone back counters place projectiles despatch bales cotton
negative,jove future gunnery america lost ay
positive,war prospect continued famous james maston scratching steel hook gutta percha cranium
neutral,cloud horizon
positive,critical period progress science artillery
positive,yes gentlemen
positive,address morning perfected model plan section elevation etc
negative,mortar destined change conditions warfare
neutral,possible replied tom hunter thoughts reverting involuntarily former invention hon
positive,j maston first trial succeeded killing three hundred thirty seven people
neutral,fact replied
positive,still use many studies worked many difficulties vanquished
negative,mere waste time
positive,new world seems made mind live peace bellicose tribune predicts approaching catastrophes arising scandalous increase population nevertheless replied colonel blomsberry always struggling europe maintain principle nationalities well well might field enterprise would accept services dreaming screamed bilsby work gunnery benefit foreigners would better nothing returned colonel
neutral,quite said j matson still need dream expedient demanded colonel
positive,ideas progress old world contrary american habits thought
positive,fellows believe one become general without served first ensign much say one point gun without first cast oneself ridiculous replied tom hunter whittling bowie knife arms easy chair case left us plant tobacco distill whale oil roared j maston shall employ remaining years life perfecting firearms
negative,shall never fresh opportunity trying ranges projectiles
neutral,shall air never lighted glare guns
negative,international difficulty ever arise enable us declare war transatlantic power
positive,shall french sink one steamers english defiance rights nations hang countrymen luck replied colonel blomsberry nothing kind likely happen even profit
negative,american susceptibility fast declining going dogs true replied j maston fresh violence thousand grounds fighting yet fight
positive,save arms legs benefit nations know
negative,stop without going one way find cause war north america belong english undoubtedly replied tom hunter stamping crutch fury
positive,well replied j maston england turn belong americans would fair returned colonel blomsberry
negative,go propose president united states cried j maston see receive bah growled bilsby four teeth war left never jove cried j maston count vote next election replied unanimously bellicose invalids
positive,meanwhile replied j maston allow say cannot get opportunity try new mortars real field battle shall say good members gun club go bury prairies arkansas case accompany cried others
negative,matters unfortunate condition club threatened approaching dissolution unexpected circumstance occurred prevent deplorable catastrophe
