Label,StopwordRemovedSentence
positive,looking back occurred since eventful day scarcely able believe reality adventures
positive,truly wonderful even bewildered think
neutral,uncle german married mother sister englishwoman
neutral,much attached fatherless nephew invited study home fatherland
neutral,home large town uncle professor philosophy chemistry geology mineralogy many ologies
neutral,one day passing hours laboratory uncle absent time suddenly felt necessity renovating tissues e hungry rouse old french cook uncle professor von hardwigg suddenly opened street door came rushing upstairs
positive,professor hardwigg worthy uncle means bad sort man however choleric original
neutral,bear means obey scarcely heavy feet resounded within joint domicile shouted attend upon
positive,harry harry harry hastened obey could reach room jumping three steps time stamping right foot upon landing
neutral,harry
negative,cried frantic tone coming
positive,tell truth moment far interested question constitute dinner problem science soup interesting soda omelette tempting arithmetic artichoke ten times value amount asbestos
neutral,uncle man kept waiting adjourning therefore minor questions presented
neutral,learned man
positive,persons category supply information peddlers goods benefit others lay stores order diffuse abroad benefit society general
positive,excellent uncle professor hardwigg studied consumed midnight oil pored heavy tomes digested huge quartos folios order keep knowledge acquired
positive,reason may regarded good one uncle objected display learning absolutely necessary stammered intent upon explaining phenomena heavens apt find fault allude vague way sun moon stars able comprehend meaning
positive,tell honest truth right word would come generally replaced powerful adjective
positive,connection sciences many almost unpronounceable names names much resembling welsh villages uncle fond using habit stammering thereby improved
neutral,fact periods discourse would finally give swallow discomfiture glass water
positive,said uncle professor hardwigg learned man add kind relative
positive,bound double ties affection interest
positive,took deep interest doings hoped day almost learned
neutral,rare thing absent lectures
positive,like preferred mineralogy sciences
positive,anxiety gain real knowledge earth
positive,geology mineralogy us sole objects life connection studies many fair specimen stone chalk metal break hammers
neutral,steel rods loadstones glass pipes bottles various acids oftener us meals
neutral,uncle hardwigg known classify six hundred different geological specimens weight hardness fusibility sound taste smell
positive,corresponded great learned scientific men age
positive,therefore constant communication events letters sir humphry davy captain franklin great men
neutral,state subject uncle wished confer must say word personal appearance
negative,alas
negative,readers see different portrait future time gone fearful adventures yet related
neutral,uncle fifty years old tall thin wiry
neutral,large spectacles hid certain extent vast round goggle eyes nose irreverently compared thin file
positive,much indeed resemble useful article compass said presence made considerable n nasal deviation
positive,truth told however article really attracted uncle nose tobacco
positive,another peculiarity always stepped yard time clenched fists going hit one peculiar humors far pleasant companion
positive,necessary observe lived nice house nice street konigstrasse hamburg
positive,though lying centre town perfectly rural aspect half wood half bricks old fashioned gables one old houses spared great fire 1842
positive,say nice house mean handsome house old tottering exactly comfortable english notions house little perpendicular inclined fall neighboring canal exactly house wandering artist depict could scarcely see ivy magnificent old tree grew door
positive,uncle rich house property considerable private income
positive,notion best part possessions god daughter gretchen
neutral,old cook young lady professor sole inhabitants
positive,loved mineralogy loved geology
negative,nothing like pebbles uncle little less fury happiest families
positive,prove excellent hardwigg impatience solemnly declare flowers drawing room pots began grow rose every morning four clock make grow quicker pulling leaves
neutral,described uncle give account interview
positive,received study perfect museum containing every natural curiosity well imagined minerals however predominating
positive,every one familiar catalogued hand
positive,uncle apparently oblivious fact summoned presence absorbed book
positive,particularly fond early editions tall copies unique works
positive,wonderful
negative,cried tapping forehead
positive,wonderful wonderful
positive,one yellow leaved volumes rarely found stalls appeared possess little value
positive,uncle however raptures
positive,admired binding clearness characters ease opened hand repeated aloud half dozen times old
positive,fancy making great fuss nothing province say
positive,contrary professed considerable interest subject asked
positive,heims kringla snorre tarleson said celebrated icelandic author twelfth century true correct account norwegian princes reigned iceland
neutral,next question related language written
neutral,hoped events translated german
negative,uncle indignant thought declared give penny translation
positive,delight found original work icelandic tongue declared one magnificent yet simple idioms world time grammatical combinations varied known students
positive,easy german
neutral,insidious remark
neutral,uncle shrugged shoulders
negative,letters events said rather difficult comprehension
negative,runic manuscript language original population iceland invented odin cried uncle angry ignorance
neutral,venture upon misplaced joke subject small scrap parchment fell leaves
positive,like hungry man snatching morsel bread professor seized
neutral,five inches three scrawled extraordinary fashion
positive,lines shown exact facsimile written venerable piece parchment wonderful importance induced uncle undertake wonderful series adventures ever fell lot human beings
neutral,uncle looked keenly document moments declared runic
neutral,letters similar book mean
neutral,exactly wanted know
positive,strong conviction runic alphabet dialect simply invention mystify poor human nature delighted find uncle knew much matter nothing
negative,events tremulous motion fingers made think
positive,yet muttered old icelandic sure
positive,uncle ought known perfect polyglot dictionary
