Label,StopwordRemovedSentence
neutral,rising
negative,contrary descending worse captain
positive,falling heaven sake heave ballast
positive,last sack empty balloon rise hear noise like dashing waves
neutral,sea car
neutral,cannot 500 feet us overboard every weight
positive,everything loud startling words resounded air vast watery desert pacific four clock evening 23rd march 1865
negative,possibly forgotten terrible storm northeast middle equinox year
neutral,tempest raged without intermission 18th 26th march
negative,ravages terrible america europe asia covering distance eighteen hundred miles extending obliquely equator thirty fifth north parallel fortieth south parallel
negative,towns overthrown forests uprooted coasts devastated mountains water precipitated vessels cast shore published accounts numbered hundreds whole districts leveled waterspouts destroyed everything passed several thousand people crushed land drowned sea traces fury left devastating tempest
negative,surpassed disasters frightfully ravaged havana guadalupe one 25th october 1810 26th july 1825
positive,many catastrophes taking place land sea drama less exciting enacted agitated air
neutral,fact balloon ball might carried summit waterspout taken circling movement column air traversed space rate ninety miles hour turning round round seized aerial maelstrom
negative,beneath lower point balloon swung car containing five passengers scarcely visible midst thick vapor mingled spray hung surface ocean
neutral,whence may asked come plaything tempest
neutral,part world rise
positive,surely could started storm
negative,storm raged five days already first symptoms manifested 18th
positive,cannot doubted balloon came great distance could traveled less two thousand miles twenty four hours
neutral,rate passengers destitute marks guidance could possessed means reckoning route traversed since departure
negative,remarkable fact although midst furious tempest suffer
negative,thrown whirled round round without feeling rotation slightest degree sensible removed horizontal position
neutral,eyes could pierce thick mist gathered beneath car
neutral,dark vapor around
positive,density atmosphere could certain whether day night
negative,reflection light sound inhabited land roaring ocean could reached obscurity suspended elevated zones
negative,rapid descent alone informed dangers ran waves
neutral,however balloon lightened heavy articles ammunition arms provisions risen higher layers atmosphere height 4 500 feet
negative,voyagers discovered sea extended beneath thinking dangers less dreadful hesitate throw overboard even useful articles endeavored lose fluid life enterprise sustained abyss
negative,night passed midst alarms would death less energetic souls
neutral,day appeared tempest began moderate
neutral,beginning day 24th march showed symptoms abating
neutral,dawn lighter clouds risen lofty regions air
positive,hours wind changed hurricane fresh breeze say rate transit atmospheric layers diminished half
neutral,still sailors call close reefed topsail breeze commotion elements none less considerably diminished
neutral,towards eleven clock lower region air sensibly clearer
positive,atmosphere threw chilly dampness felt passage great meteor
neutral,storm seem gone farther west
negative,appeared exhausted
neutral,could passed away electric sheets sometimes case regard typhoons indian ocean
neutral,time also evident balloon slowly descending regular movement
negative,appeared little little collapsing case lengthening extending passing spherical oval form
neutral,towards midday balloon hovering sea height 2 000 feet
positive,contained 50 000 cubic feet gas thanks capacity could maintain long time air although reach great altitude might thrown horizontal position
positive,perceiving danger passengers cast away last articles still weighed car provisions kept everything even pocket knives one hoisted circles united cords net tried secure firmly lower point balloon
negative,however evident voyagers gas failing balloon could longer sustained higher regions
neutral,must infallibly perish
neutral,continent even island visible beneath
positive,watery expanse present single speck land solid surface upon anchor could hold
negative,open sea whose waves still dashing tremendous violence
neutral,ocean without visible limits even whose gaze commanding position extended radius forty miles
negative,vast liquid plain lashed without mercy storm appeared covered herds furious chargers whose white disheveled crests streaming wind
neutral,land sight solitary ship could seen
negative,necessary cost arrest downward course prevent balloon engulfed waves
negative,voyagers directed energies urgent work
positive,notwithstanding efforts balloon still fell time shifted greatest rapidity following direction wind say northeast southwest
negative,frightful indeed situation unfortunate men
neutral,evidently longer masters machine
