Label,StopwordRemovedSentence
neutral,two dogs destined propagate canine race lunar continents already shut projectile
positive,three travelers approached orifice enormous cast iron tube crane let conical top projectile
neutral,opening made purpose gave access aluminum car
positive,tackle belonging crane hauled outside mouth columbiad instantly disencumbered last supports
positive,nicholl introduced companions inside projectile began close opening means strong plate held position powerful screws
negative,plates closely fitted covered lenticular glasses travelers hermetically enclosed metal prison plunged profound darkness
positive,dear companions said michel ardan let us make home domesticated man strong housekeeping
positive,bound make best new lodgings make comfortable
neutral,first let us try see little
negative,gas invented moles saying thoughtless fellow lit match striking sole boot approached burner fixed receptacle carbonized hydrogen stored high pressure sufficed lighting warming projectile hundred forty four hours six days six nights
positive,gas caught fire thus lighted projectile looked like comfortable room thickly padded walls furnished circular divan roof rounded shape dome
positive,michel ardan examined everything declared satisfied installation
negative,prison said traveling prison right putting nose window could well stand lease hundred years
positive,smile barbicane
neutral,arriere pensee
negative,say prison may tomb tomb perhaps still would change mahomet floats space never advances inch michel ardan speaking barbicane nicholl making last preparations
neutral,nicholl chronometer marked twenty minutes past ten p three travelers finally enclosed projectile
neutral,chronometer set within tenth second murchison engineer
neutral,barbicane consulted
positive,friends said twenty minutes past ten
positive,forty seven minutes past ten murchison launch electric spark wire communicates charge columbiad
negative,precise moment shall leave spheroid
positive,thus still twenty seven minutes remain earth twenty six minutes thirteen seconds replied methodical nicholl
positive,well exclaimed michel ardan good humored tone much may done twenty six minutes
positive,gravest questions morals politics may discussed even solved
positive,twenty six minutes well employed worth twenty six years nothing done
positive,seconds pascal newton precious whole existence crowd raw simpletons conclude everlasting talker asked barbicane
neutral,conclude twenty six minutes left replied ardan
neutral,twenty four said nicholl
positive,well twenty four like noble captain said ardan twenty four minutes investigate michel said barbicane passage shall plenty time investigate difficult questions
positive,present must occupy departure ready doubtless still precautions taken deaden much possible first shock water cushions placed partition breaks whose elasticity sufficiently protect us hope michel replied barbicane gently sure ah joker exclaimed michel ardan
positive,hopes sure waits moment encased make deplorable admission
neutral,beg allowed get asked barbicane
positive,humph said michel ardan easy train guard whistle sound twenty four minutes twenty said nicholl
neutral,moments three travelers looked
negative,began examine objects imprisoned
neutral,everything place said barbicane
positive,decide best place resist shock
positive,position cannot indifferent matter must much possible prevent rush blood head said nicholl
positive,replied michel ardan ready suit action word let us put heads feet air like clowns grand circus said barbicane let us stretch sides shall resist shock better way
positive,remember projectile starts matters little whether amounts much thing much thing may cheer said michel ardan
neutral,approve idea nicholl asked barbicane
neutral,entirely replied captain
positive,still thirteen minutes half nicholl man exclaimed michel chronometer seconds escape eight holes companions listening taking last positions perfect coolness
positive,like two methodical travelers car seeking place comfortably possible
negative,might well ask materials hearts americans made approach frightful danger added pulsation
neutral,three thick solidly made couches placed projectile
neutral,nicholl barbicane placed center disc forming floor
neutral,three travelers stretch moments departure
positive,time ardan able keep still turned narrow prison like wild beast cage chatting friends speaking dogs diana satellite may seen given significant names
neutral,ah diana
positive,ah satellite exclaimed teasing going show moon dogs good habits dogs earth
positive,honor canine race
neutral,ever come bring cross type moon dogs make stir dogs moon said barbicane
neutral,said michel ardan horses cows donkeys chickens
neutral,bet shall find chickens hundred dollars shall find none said nicholl
neutral,done captain replied ardan clasping nicholl hand
positive,bye already lost three bets president necessary funds enterprise found operation casting successful lastly columbiad loaded without accident six thousand dollars yes replied nicholl
neutral,thirty seven minutes six seconds past ten understood captain
positive,well another quarter hour count nine thousand dollars president four thousand columbiad burst five thousand projectile rise six miles air dollars replied nicholl slapping pocket coat
negative,ask allowed pay come nicholl
positive,see man method could never indeed made series bets little advantage allow tell asked nicholl
positive,gain first columbiad burst projectile barbicane longer reimburse dollars stake deposited bank baltimore replied barbicane simply nicholl go heirs ah practical men exclaimed michel ardan admire able understand forty two minutes past ten said nicholl
neutral,five minutes answered barbicane
positive,yes five little minutes replied michel ardan enclosed projectile bottom gun 900 feet long
negative,projectile rammed 400 000 pounds gun cotton equal 1 600 000 pounds ordinary powder
positive,friend murchison chronometer hand eye fixed needle finger electric apparatus counting seconds preparatory launching us interplanetary space enough michel enough said barbicane serious voice let us prepare
negative,instants alone separate us eventful moment
positive,one clasp hand friends yes exclaimed michel ardan moved wished appear three bold companions united last embrace
positive,god preserve us said religious barbicane
neutral,michel ardan nicholl stretched couches placed center disc
neutral,forty seven minutes past ten murmured captain
negative,twenty seconds barbicane quickly put gas lay companions profound silence broken ticking chronometer marking seconds
negative,suddenly dreadful shock felt projectile force six billions litres gas developed combustion pyroxyle mounted space
negative,effect frightful shock produced
positive,ingenuity constructors projectile obtained happy result
positive,shock deadened thanks springs four plugs water cushions partition breaks
negative,able subdue frightful pressure initiatory speed 11 000 yards enough traverse paris new york second
neutral,evidently question suggested thousand spectators moving scene
neutral,forgot aim journey thought travelers
neutral,one joseph maston example could cast one glimpse projectile would seen
neutral,nothing
negative,darkness profound
positive,cylindro conical partitions resisted wonderfully
neutral,rent dent anywhere
positive,wonderful projectile even heated intense deflagration powder liquefied seemed fear shower aluminum
negative,interior showed little disorder indeed objects violently thrown toward roof important seemed suffered shock fixtures intact
positive,movable disc sunk bottom smashing partition breaks escape water three bodies lay apparently lifeless
neutral,barbicane nicholl michel ardan still breathe
neutral,projectile nothing metal coffin bearing three corpses space
positive,minutes departure projectile one bodies moved shook arms lifted head finally succeeded getting knees
neutral,michel ardan
neutral,felt gave sonorous hem said michel ardan whole
positive,others courageous frenchman tried rise could stand
negative,head swam rush blood blind drunken man
neutral,bur r said
positive,produces effect two bottles corton though perhaps less agreeable swallow passing hand several times across forehead rubbing temples called firm voice nicholl
negative,barbicane waited anxiously
negative,answer even sigh show hearts companions still beating
neutral,called
neutral,silence
neutral,devil exclaimed
negative,look fallen fifth story heads
positive,bah added imperturbable confidence nothing could check frenchman get knees two americans ought able get feet
neutral,first let us light ardan felt tide life return degrees
positive,blood became calm returned accustomed circulation
positive,another effort restored equilibrium
positive,succeeded rising drew match pocket approaching burner lighted
negative,receiver suffered
neutral,gas escaped
negative,besides smell would betrayed case michel ardan could carried lighted match impunity space filled hydrogen
negative,gas mixing air would produced detonating mixture explosion would finished shock perhaps begun
neutral,burner lit ardan leaned bodies companions lying one inert mass nicholl barbicane underneath
neutral,ardan lifted captain propped divan began rub vigorously
positive,means used judgment restored nicholl opened eyes instantly recovering presence mind seized ardan hand looked around
neutral,barbicane said
neutral,turn replied michel ardan
positive,began nicholl top
negative,let us look barbicane saying ardan nicholl raised president gun club laid divan
